escuela,region,distrito,total_matricula,curso,nivel,pct_estudiantes
LUIS MUNOZ MARIN,PONCE,SANTA ISABEL,232,espa,basico,42.5
LUIS MUNOZ MARIN,SAN JUAN,CAROLINA,184,espa,basico,51.61
LUIS MUNOZ RIVERA,ARECIBO,ARECIBO,249,espa,basico,33.33
LUIS MUNOZ RIVERA,PONCE,UTUADO,820,espa,basico,46.81
LUIS MUNOZ RIVERA,CAGUAS,GURABO,198,espa,basico,38.55
LUIS MUNOZ RIVERA,HUMACAO,YABUCOA,552,espa,basico,37.02
LUIS MUNOZ RIVERA,HUMACAO,LAS PIEDRAS,146,espa,basico,50.45
LUIS MUNOZ RIVERA,MAYAGUEZ,AGUADILLA,218,espa,basico,36.36
LUIS MUNOZ RIVERA,MAYAGUEZ,CABO ROJO,457,espa,basico,44.28
LUIS MUNOZ RIVERA,MAYAGUEZ,MAYAGUEZ,296,espa,basico,46.07
LUIS MUNOZ RIVERA,PONCE,YAUCO,123,espa,basico,2.22
LUIS MUNOZ RIVERA,PONCE,YAUCO,264,espa,basico,21.82
LUIS MUNOZ RIVERA,SAN JUAN,SAN JUAN I,324,espa,basico,34.46
LUIS MUNOZ RIVERA,SAN JUAN,SAN JUAN II,235,espa,basico,37.07
LUIS MUNOZ RIVERA,ARECIBO,VEGA ALTA,198,espa,basico,50
LUIS MUNOZ RIVERA I,SAN JUAN,GUAYNABO,154,espa,basico,38.64
LUIS MUNOZ RIVERA II,SAN JUAN,GUAYNABO,105,espa,basico,32.68
LUIS NEGRON LOPEZ,MAYAGUEZ,CABO ROJO,664,espa,basico,50.97
LUIS PALES MATOS,BAYAMON,BAYAMON,329,espa,basico,56.94
LUIS RAMOS GONZALEZ,CAGUAS,GURABO,258,espa,basico,44.14
LUIS RODRIGUEZ CABRERO,SAN JUAN,SAN JUAN I,304,espa,basico,51.33
LUIS SANTALIZ CAPESTANY,MAYAGUEZ,MAYAGUEZ,242,espa,basico,36.45
LUIS T BALINAS,CAGUAS,CIDRA,232,espa,basico,47.56
LUISA M VALDERRAMA  (SAN ANTONIO),ARECIBO,VEGA ALTA,257,espa,basico,46.39
LUTGARDA RIVERA REYES,HUMACAO,FAJARDO,112,espa,basico,5.26
LUZ A CRUZ DE SANTANA,HUMACAO,LAS PIEDRAS,304,espa,basico,10.63
LUZ AMERICA CALDERON,SAN JUAN,CAROLINA,638,espa,basico,50.92
LUZ ENEIDA COLON,SAN JUAN,SAN JUAN II,287,espa,basico,46.48
LYDIA MELENDEZ,MAYAGUEZ,AGUADILLA,396,espa,basico,42.59
LYSANDER BORRERO TERRY,PONCE,SANTA ISABEL,886,espa,basico,43.28
MADAME LUCHETTI,SAN JUAN,SAN JUAN I,247,espa,basico,19.57
MAGUEYES II,PONCE,YAUCO,139,espa,basico,36.84
MANUEL A BARRETO,MAYAGUEZ,MAYAGUEZ,218,espa,basico,45.89
MANUEL A PEREZ,SAN JUAN,SAN JUAN II,372,espa,basico,38.97
MANUEL ALONSO DIAZ TORRES,BAYAMON,OROCOVIS,160,espa,basico,31.76
MANUEL BOADA,SAN JUAN,SAN JUAN II,226,espa,basico,4.76
MANUEL BOU GALI,BAYAMON,COROZAL,418,espa,basico,46.12
MANUEL CORCHADO Y JUARBE,MAYAGUEZ,SAN SEBASTIAN,195,espa,basico,25.17
MANUEL CRUZ MACEIRA,CAGUAS,BARRANQUITAS,65,espa,basico,40
MANUEL CUEVAS BACENER,SAN JUAN,SAN JUAN I,238,espa,basico,41.67
MANUEL ELZABURU Y VIZCARRONDO,SAN JUAN,SAN JUAN II,283,espa,basico,39.32
MANUEL F ERNANDEZ JUNCOS,PONCE,SANTA ISABEL,412,espa,basico,35.71
MANUEL FEBRES GONZALEZ,SAN JUAN,CAROLINA,424,espa,basico,51.41
MANUEL GARCIA PEREZ (NUEVA),MAYAGUEZ,AGUADILLA,473,espa,basico,49.06
MANUEL GONZALEZ MELO,MAYAGUEZ,AGUADILLA,474,espa,basico,46.77
MANUEL GONZALEZ PATO,PONCE,PONCE,483,espa,basico,42.26
MANUEL MARTIN MONSERRATE,PONCE,SANTA ISABEL,359,espa,basico,34.22
MANUEL MARTINEZ DAVILA,ARECIBO,VEGA ALTA,602,espa,basico,41.63
MANUEL MENDEZ LICIAGA,MAYAGUEZ,SAN SEBASTIAN,883,espa,basico,40.3
MANUEL NEGRON COLLAZO I,ARECIBO,VEGA ALTA,175,espa,basico,31.52
MANUEL PADILLA DAVILA,ARECIBO,VEGA ALTA,200,espa,basico,49.23
MANUEL SURILLO,HUMACAO,LAS PIEDRAS,280,espa,basico,46.81
MANUEL VELILLA,BAYAMON,TOA BAJA,317,espa,basico,42.44
MANUELA TORO MORICE,CAGUAS,GURABO,977,espa,basico,46.92
MARCELA GARCIA CORA,CAGUAS,GUAYAMA,114,espa,basico,10
MARCELINO CANINO CANINO,ARECIBO,VEGA ALTA,464,espa,basico,50
MARCELINO RODRIGUEZ,MAYAGUEZ,SAN SEBASTIAN,349,espa,basico,43.75
MARGARITA JANER PALACIOS,SAN JUAN,GUAYNABO,894,espa,basico,36.79
MARGARITA RIVERA DE JANER,CAGUAS,GURABO,511,espa,basico,44.55
MARIA C HUERTAS,CAGUAS,BARRANQUITAS,84,espa,basico,5.56
MARIA C OSORIO,BAYAMON,TOA BAJA,691,espa,basico,45.61
MARIA CADILLA DE MARTINEZ,ARECIBO,ARECIBO,669,espa,basico,52.68
MARIA CRUZ BUITRAGO,HUMACAO,YABUCOA,216,espa,basico,46.34
MARIA DAVILA SEMIDEY,HUMACAO,YABUCOA,NA,espa,basico,NA
MARIA DOLORES FARIA,MAYAGUEZ,MAYAGUEZ,300,espa,basico,48.28
MARIA E ARCHEVAL SALAMO DE VALDES,PONCE,PONCE,NA,espa,basico,NA
MARIA E BAS DE VAZQUEZ,BAYAMON,BAYAMON,287,espa,basico,39.61
MARIA E RODRIGUEZ,BAYAMON,BAYAMON,268,espa,basico,50.38
MARIA I DONES,HUMACAO,FAJARDO,115,espa,basico,36.36
MARIA J CORREDOR RIVERA,BAYAMON,TOA BAJA,256,espa,basico,38.61
MARIA L MC DOUGALL,PONCE,YAUCO,179,espa,basico,13.7
MARIA LIBERTAD GOMEZ,PONCE,UTUADO,112,espa,basico,44.74
MARIA LUISA ARCELAY,MAYAGUEZ,MAYAGUEZ,119,espa,basico,24.62
MARIA M SIMMONS DE RIVERA,HUMACAO,FAJARDO,231,espa,basico,39.55
MARIA MILAGROS ORTIZ GARCIA,HUMACAO,YABUCOA,130,espa,basico,41.67
MARIA TERESA PINEIRO,BAYAMON,TOA BAJA,380,espa,basico,50
MARIA TERESA SERRANO,SAN JUAN,CAROLINA,296,espa,basico,25.95
MARIA VAZQUEZ DE UMPIERRE,BAYAMON,BAYAMON,406,espa,basico,42.76
MARIANA BRACETTI,MAYAGUEZ,AGUADILLA,181,espa,basico,12.99
MARIANO ABRIL,MAYAGUEZ,CABO ROJO,152,espa,basico,23.94
MARIANO ABRIL ELEMENTAL,SAN JUAN,GUAYNABO,248,espa,basico,40.65
MARIANO FELIU BALSEIRO,BAYAMON,BAYAMON,374,espa,basico,42.24
MARIANO RIERA PALMER,MAYAGUEZ,MAYAGUEZ,222,espa,basico,42.4
MARIN ABAJO,HUMACAO,YABUCOA,86,espa,basico,40.91
MARIO PAGAN IRIZARRY,MAYAGUEZ,CABO ROJO,158,espa,basico,26.79
MARTA SANCHEZ,HUMACAO,YABUCOA,142,espa,basico,44.59
MARTA VELEZ DE FAJARDO,BAYAMON,BAYAMON,608,espa,basico,37.07
MARTIN G BRUMBAUGH,PONCE,SANTA ISABEL,367,espa,basico,21.43
MARTIN GARCIA GIUSTI,BAYAMON,TOA BAJA,424,espa,basico,50.63
MARTIN GONZALEZ,SAN JUAN,CAROLINA,255,espa,basico,48.3
MATEO HERNANDEZ,MAYAGUEZ,SAN SEBASTIAN,194,espa,basico,43.38
MATIAS GONZALEZ GARCIA,CAGUAS,GURABO,512,espa,basico,45.85
MATIAS RIVERA,HUMACAO,LAS PIEDRAS,237,espa,basico,28.49
MEDARDO CARAZO,SAN JUAN,GUAYNABO,651,espa,basico,54.4
MEDIANIA ALTA ELEMENTAL,HUMACAO,CANOVANAS,676,espa,basico,44.86
MERCED MARCANO,BAYAMON,TOA BAJA,137,espa,basico,7.58
MERCEDES GARCIA DE COLORADO,BAYAMON,TOA BAJA,246,espa,basico,41.48
MERCEDES ROSADO,BAYAMON,COROZAL,493,espa,basico,42.73
MICAELA ESCUDERO,ARECIBO,MANATI,205,espa,basico,8.73
MIGUEL A RIVERA,MAYAGUEZ,MAYAGUEZ,123,espa,basico,39.53
MIGUEL A SASTRE OLIVER,PONCE,UTUADO,176,espa,basico,45.31
MIGUEL DE CERVANTES SAAVEDRA,BAYAMON,BAYAMON,574,espa,basico,53.49
MIGUEL GONZALEZ BAUZA,PONCE,YAUCO,280,espa,basico,52.29
MIGUEL MELENDEZ MUNOZ,CAGUAS,CIDRA,278,espa,basico,31.34
MIGUEL MELENDEZ MUNOZ,CAGUAS,CIDRA,762,espa,basico,43.27
MIGUEL MELENDEZ MUNOZ,BAYAMON,BAYAMON,577,espa,basico,33.78
MIGUEL SUCH,SAN JUAN,SAN JUAN II,1148,espa,basico,51.7
MOISES MELENDEZ,SAN JUAN,SAN JUAN II,141,espa,basico,36.73
MONSERRATE LEON IRIZARRY,MAYAGUEZ,CABO ROJO,584,espa,basico,37.61
MONTE SANTO,HUMACAO,FAJARDO,97,espa,basico,50
MYRNA M FUENTES,CAGUAS,GURABO,239,espa,basico,31.07
NARCISO RABELL CABRERO,MAYAGUEZ,SAN SEBASTIAN,235,espa,basico,43.79
NELIDA MELENDEZ MELENDEZ,BAYAMON,OROCOVIS,499,espa,basico,14.65
NEMESIO R CANALES I,SAN JUAN,SAN JUAN I,230,espa,basico,44.44
NICANDRO GARCIA,MAYAGUEZ,SAN SEBASTIAN,310,espa,basico,50
NICOLAS AGUAYO ALDEA,CAGUAS,GURABO,422,espa,basico,46.27
NICOLAS SEVILLA,BAYAMON,TOA BAJA,713,espa,basico,40.94
NORMA I TORRES COLON,PONCE,SANTA ISABEL,226,espa,basico,44.44
NUESTRA SENORA DE COVADONGA,SAN JUAN,GUAYNABO,126,espa,basico,43.66
NUEVA  JUAN S MARCHAND,ARECIBO,MANATI,313,espa,basico,50
NUEVA BRIGIDA ALVAREZ RODRIGUEZ,ARECIBO,VEGA ALTA,452,espa,basico,1.97
NUEVA CEFERINA CORDERO,MAYAGUEZ,SAN SEBASTIAN,467,espa,basico,40.35
NUEVA ELEM BO QUEBRADA NEGRITO,SAN JUAN,GUAYNABO,451,espa,basico,35.59
NUEVA ELEMENTAL URBANA DE GUAYNABO,SAN JUAN,GUAYNABO,650,espa,basico,42.4
NUEVA ESCUELA SU ANTONIO RIVERA,BAYAMON,BAYAMON,208,espa,basico,37.04
NUEVA INTERMEDIA,ARECIBO,MANATI,616,espa,basico,41.11
NUEVA SUP CON DEPARTAMENTO VOCACIONAL,BAYAMON,COROZAL,NA,espa,basico,NA
NUEVA SUPERIOR DE LOIZA,HUMACAO,CANOVANAS,561,espa,basico,55.47
NUEVA URBANA DE CIALES,ARECIBO,MANATI,706,espa,basico,49.37
OLGA E COLON TORRES,PONCE,YAUCO,145,espa,basico,4.35
OLGA MAS RAMIREZ,MAYAGUEZ,MAYAGUEZ,251,espa,basico,47.48
ONOFRE CARBALLEIRA,BAYAMON,TOA BAJA,241,espa,basico,47.83
OSCAR HERNANDEZ GUEVARA,CAGUAS,GUAYAMA,253,espa,basico,45.53
OSCAR L BUNKER,CAGUAS,GURABO,292,espa,basico,38.19
PABLO CARDONA,MAYAGUEZ,SAN SEBASTIAN,120,espa,basico,42.17
PABLO CASALS,BAYAMON,BAYAMON,540,espa,basico,29.35
PABLO COLON BERDECIA,CAGUAS,BARRANQUITAS,648,espa,basico,45.96
PABLO FUENTES RIVERA,CAGUAS,BARRANQUITAS,106,espa,basico,8.89
PACHIN MARIN,SAN JUAN,SAN JUAN II,315,espa,basico,45.93
PADRE NAZARIO,PONCE,YAUCO,132,espa,basico,12.22
PADRE PABLO GUTIERREZ,MAYAGUEZ,AGUADILLA,137,espa,basico,33.68
PADRE RUFO (BILINGUE),SAN JUAN,SAN JUAN I,355,espa,basico,22.86
PAPA JUAN XXIII,BAYAMON,BAYAMON,370,espa,basico,64.71
PAPA JUAN XXIII,BAYAMON,BAYAMON,491,espa,basico,24.91
PARCELAS AGUAS CLARAS,HUMACAO,FAJARDO,203,espa,basico,53.13
PARCELAS MARIA,MAYAGUEZ,AGUADILLA,253,espa,basico,42.16
PARCELAS REAL,PONCE,PONCE,155,espa,basico,16.13
PARCELAS VIEQUES,HUMACAO,CANOVANAS,142,espa,basico,56.86
PASCASIO P SANCERRIT,SAN JUAN,CAROLINA,425,espa,basico,50.33
PASO PALMA I,PONCE,UTUADO,75,espa,basico,19.44
PATRIA LATORRE,MAYAGUEZ,SAN SEBASTIAN,908,espa,basico,22.64
PATRIA PEREZ,PONCE,YAUCO,130,espa,basico,39.56
PAUL G MILLER,SAN JUAN,GUAYNABO,221,espa,basico,17.79
PAULA MOJICA,CAGUAS,GURABO,148,espa,basico,32.89
PEDRO AMADOR,ARECIBO,CAMUY,127,espa,basico,31.43
PEDRO BOSCH,HUMACAO,LAS PIEDRAS,271,espa,basico,39.23
PEDRO C TIMOTHEE ANEXO,SAN JUAN,SAN JUAN I,103,espa,basico,0
PEDRO CARLOS TIMOTHEE,SAN JUAN,SAN JUAN I,288,espa,basico,25.71
PEDRO COLON SANTIAGO,PONCE,SANTA ISABEL,271,espa,basico,44.88
PEDRO FALU ORELLANO,HUMACAO,CANOVANAS,791,espa,basico,56.72
PEDRO FIDEL COLBERG,MAYAGUEZ,CABO ROJO,223,espa,basico,40.67
PEDRO GUTIERREZ,HUMACAO,CANOVANAS,275,espa,basico,36.76
PEDRO J RODRIGUEZ,SAN JUAN,CAROLINA,299,espa,basico,33.33
PEDRO MELENDEZ SANTIAGO,PONCE,SANTA ISABEL,422,espa,basico,35.64
PEDRO MILLAN RIVERA,CAGUAS,GURABO,389,espa,basico,31.84
PEDRO MOCZO BANIET,SAN JUAN,CAROLINA,404,espa,basico,50.78
PEDRO NELSON COLBERG,MAYAGUEZ,CABO ROJO,NA,espa,basico,NA
PEDRO P CASABLANCA,BAYAMON,BAYAMON,252,espa,basico,51.52
PEDRO ROSARIO NIEVES,HUMACAO,FAJARDO,204,espa,basico,17.39
PEDRO SOTO RIVERA,CAGUAS,GUAYAMA,102,espa,basico,3.51
PEPITA ARENAS,CAGUAS,GURABO,215,espa,basico,38.93
PEPITA GARRIGA,CAGUAS,GURABO,279,espa,basico,18.62
PEPITA LOPEZ,HUMACAO,LAS PIEDRAS,128,espa,basico,39.53
PESA PARCELAS,ARECIBO,MANATI,137,espa,basico,6.15
PETRA CORRETJER DE O'NEILL,ARECIBO,MANATI,604,espa,basico,52.72
PETRA MERCADO BOUGART,HUMACAO,LAS PIEDRAS,794,espa,basico,41.18
PETRA ROMAN VIGO,SAN JUAN,CAROLINA,337,espa,basico,51.55
PETRA ZENON DE FABERY,SAN JUAN,GUAYNABO,563,espa,basico,48.97
PETROAMERICA PAGAN,CAGUAS,BARRANQUITAS,345,espa,basico,0.87
PINAS ARRIBA,CAGUAS,BARRANQUITAS,107,espa,basico,27.91
PLAYA GRANDE,HUMACAO,FAJARDO,201,espa,basico,53.26
PONCE HIGH SCHOOL,PONCE,PONCE,909,espa,basico,47.46
PORFIRIO CRUZ GARCIA,BAYAMON,COROZAL,193,espa,basico,53.85
PRE-VOCACIONAL CASIANO CEPEDA,HUMACAO,CANOVANAS,53,espa,basico,83.33
PRISCO FUENTES,SAN JUAN,CAROLINA,530,espa,basico,41.06
PROFESORA JUANA ROSARIO CARRERO,MAYAGUEZ,AGUADILLA,525,espa,basico,37.7
PROFESORA LUIZA MONSEGUR VELEZ,PONCE,YAUCO,163,espa,basico,10.71
PUERTO RICO AVIATION MAINTENANCE INSTITUTE,HUMACAO,FAJARDO,NA,espa,basico,NA
PUERTO RICO AVIATION MAINTENANCE INSTITUTE,MAYAGUEZ,AGUADILLA,NA,espa,basico,NA
PURIFICACION RODRIGUEZ,PONCE,SANTA ISABEL,337,espa,basico,18.92
QUEBRADA GRANDE,HUMACAO,FAJARDO,163,espa,basico,27.06
QUEBRADA HONDA,HUMACAO,YABUCOA,230,espa,basico,41.43
QUEBRADAS,PONCE,YAUCO,192,espa,basico,25.81
RABANAL,CAGUAS,BARRANQUITAS,262,espa,basico,33.08
RAFAEL ANTONIO DELGADO MATEO,CAGUAS,GUAYAMA,240,espa,basico,55.38
RAFAEL APARICIO JIMENEZ,PONCE,UTUADO,385,espa,basico,43.01
RAFAEL COLON SALGADO,BAYAMON,BAYAMON,475,espa,basico,22.14
RAFAEL CORDERO,MAYAGUEZ,AGUADILLA,133,espa,basico,43.16
RAFAEL CORDERO,SAN JUAN,SAN JUAN I,299,espa,basico,19.1
RAFAEL CORDERO,SAN JUAN,GUAYNABO,232,espa,basico,37.27
RAFAEL CORDERO,BAYAMON,TOA BAJA,476,espa,basico,50.64
RAFAEL CORDERO MOLINA,MAYAGUEZ,MAYAGUEZ,182,espa,basico,45.1
RAFAEL DE JESUS,HUMACAO,CANOVANAS,356,espa,basico,44.85
RAFAEL ESPARRA CARTAGENA,CAGUAS,GUAYAMA,117,espa,basico,31
RAFAEL FABIAN,MAYAGUEZ,AGUADILLA,185,espa,basico,43.48
RAFAEL HERNANDEZ,MAYAGUEZ,MAYAGUEZ,143,espa,basico,44.55
RAFAEL HERNANDEZ,SAN JUAN,SAN JUAN II,282,espa,basico,20.61
RAFAEL HERNANDEZ,BAYAMON,BAYAMON,261,espa,basico,47.37
RAFAEL HERNANDEZ,ARECIBO,VEGA ALTA,239,espa,basico,17.59
RAFAEL HERNANDEZ,ARECIBO,VEGA ALTA,377,espa,basico,46.81
RAFAEL HERNANDEZ MARIN,SAN JUAN,SAN JUAN I,281,espa,basico,29.69
RAFAEL IRIZARRY RIVERA,PONCE,YAUCO,452,espa,basico,43.63
RAFAEL MARIA DE LABRA,SAN JUAN,SAN JUAN I,257,espa,basico,49.58
RAFAEL MARTINEZ NADAL,MAYAGUEZ,MAYAGUEZ,161,espa,basico,31.36
RAFAEL MARTINEZ NADAL,SAN JUAN,GUAYNABO,583,espa,basico,43.64
RAFAEL N COCA,HUMACAO,CANOVANAS,436,espa,basico,47.27
RAFAEL PONT FLORES,CAGUAS,BARRANQUITAS,632,espa,basico,47.26
RAFAEL QUINONES VIDAL,SAN JUAN,SAN JUAN II,200,espa,basico,54.14
RAFAEL REXACH DUENO,HUMACAO,CANOVANAS,313,espa,basico,23.23
RAFAEL RIVERA OTERO,SAN JUAN,SAN JUAN II,233,espa,basico,45.38
RAFALINA E LEBRON FLORES,HUMACAO,YABUCOA,485,espa,basico,60.78
RALPH W EMERSON,ARECIBO,CAMUY,378,espa,basico,24.64
RAMIRO COLON COLON,PONCE,PONCE,213,espa,basico,37.8
RAMON AVILA MOLINARI,ARECIBO,CAMUY,309,espa,basico,10.34
RAMON B LOPEZ,BAYAMON,TOA BAJA,115,espa,basico,13.04
RAMON DE JESUS SIERRA,ARECIBO,CAMUY,688,espa,basico,27.96
RAMON E BETANCES,MAYAGUEZ,CABO ROJO,181,espa,basico,8.53
RAMON E RODRIGUEZ DIAZ,MAYAGUEZ,MAYAGUEZ,473,espa,basico,41.42
RAMON EMETERIO BETANCES,ARECIBO,CAMUY,279,espa,basico,40
RAMON JOSE DAVILA,PONCE,SANTA ISABEL,892,espa,basico,31.02
RAMON LOPEZ BERRIOS,PONCE,SANTA ISABEL,113,espa,basico,20.9
RAMON LUIS RIVERA,CAGUAS,CIDRA,157,espa,basico,20.31
RAMON MARIA TORRES,MAYAGUEZ,SAN SEBASTIAN,430,espa,basico,38.55
RAMON MARIN,PONCE,PONCE,175,espa,basico,0
RAMON MARIN SOLA,SAN JUAN,GUAYNABO,315,espa,basico,42.51
RAMON MORALES PENA,BAYAMON,BAYAMON,470,espa,basico,33.51
RAMON OLIVARES,MAYAGUEZ,CABO ROJO,162,espa,basico,27.27
RAMON PEREZ PURCELL,PONCE,YAUCO,238,espa,basico,7.91
RAMON POWER Y GIRALT,HUMACAO,LAS PIEDRAS,854,espa,basico,35.38
RAMON POWER Y GIRALT,SAN JUAN,SAN JUAN I,277,espa,basico,56.76
RAMON QUINONES MEDINA,HUMACAO,YABUCOA,609,espa,basico,39.06
RAMON QUINONES PACHECO,HUMACAO,FAJARDO,282,espa,basico,37.41
RAMON TORRES RIVERA,BAYAMON,OROCOVIS,175,espa,basico,21.01
RAMON VILA MAYO,SAN JUAN,SAN JUAN II,636,espa,basico,56
RAUL YBARRA,MAYAGUEZ,MAYAGUEZ,233,espa,basico,46.89
REGINO VEGA MATINEZ,CAGUAS,CIDRA,388,espa,basico,38.29
RENE MARQUES,SAN JUAN,CAROLINA,457,espa,basico,31.39
REPUBLICA DE BRAZIL,SAN JUAN,SAN JUAN I,240,espa,basico,39.63
REPUBLICA DE COLOMBIA,SAN JUAN,SAN JUAN II,368,espa,basico,44.9
REPUBLICA DE COSTA RICA,CAGUAS,GURABO,748,espa,basico,40.38
REPUBLICA DE MEXICO,SAN JUAN,SAN JUAN I,161,espa,basico,47.44
REPUBLICA DEL PERU,SAN JUAN,SAN JUAN I,201,espa,basico,36.6
REXVILLE ELEMENTAL,BAYAMON,BAYAMON,411,espa,basico,37.18
REXVILLE INTERMEDIA,BAYAMON,BAYAMON,403,espa,basico,46.81
RICARDO ARROYO LARACUENTE,ARECIBO,VEGA ALTA,392,espa,basico,47.81
RICARDO RODRIGUEZ TORRES,ARECIBO,MANATI,401,espa,basico,45.93
RIO CANAS ABAJO,MAYAGUEZ,MAYAGUEZ,272,espa,basico,44.92
RIO CANAS ARRIBA,MAYAGUEZ,MAYAGUEZ,99,espa,basico,59.52
ROBERTO CLEMENTE,SAN JUAN,CAROLINA,311,espa,basico,46.85
ROBERTO SILVA MORALES,HUMACAO,LAS PIEDRAS,413,espa,basico,38.29
RODULFO DEL VALLE,PONCE,PONCE,376,espa,basico,20.16
ROMAN BALDORIOTY DE CASTRO,CAGUAS,GUAYAMA,233,espa,basico,27.88
ROSA BERNARD,HUMACAO,CANOVANAS,374,espa,basico,36.07
ROSA C BENITEZ,CAGUAS,GURABO,384,espa,basico,19.37
ROSA COSTA VALDIVIESO,HUMACAO,YABUCOA,287,espa,basico,39.84
ROSA E MOLINARI,ARECIBO,ARECIBO,154,espa,basico,25.84
ROSA LUZ ZAYAS,BAYAMON,COROZAL,142,espa,basico,33.82
ROSA M RODRIGUEZ,ARECIBO,VEGA ALTA,155,espa,basico,32.18
ROSA PASCUALA PARIS,HUMACAO,FAJARDO,254,espa,basico,20.83
ROSA SANCHEZ  VARGAS,HUMACAO,YABUCOA,118,espa,basico,35.8
ROSALINA C MARTINEZ,SAN JUAN,GUAYNABO,355,espa,basico,44.94
ROSENDO MATIENZO CINTRON,HUMACAO,CANOVANAS,252,espa,basico,54.55
ROSENDO MATIENZO CINTRON,MAYAGUEZ,CABO ROJO,135,espa,basico,25.56
ROSENDO MATIENZO CINTRON,BAYAMON,TOA BAJA,289,espa,basico,28.74
RUBEN RODRIGUEZ FIGUEROA,BAYAMON,COROZAL,765,espa,basico,37.44
RUFINO HUERTAS,PONCE,SANTA ISABEL,188,espa,basico,23.28
RUFINO VIGO,HUMACAO,LAS PIEDRAS,370,espa,basico,46.6
RUTH EVELYN CRUZ SANTOS,CAGUAS,CIDRA,816,espa,basico,45.74
RUTHERFORD B HAYES,PONCE,SANTA ISABEL,355,espa,basico,36.66
RVDO FELIX CASTRO RODRIGUEZ,SAN JUAN,CAROLINA,252,espa,basico,44.62
SABANA LLANA,SAN JUAN,SAN JUAN II,234,espa,basico,44.09
SABANETAS MANI,MAYAGUEZ,MAYAGUEZ,197,espa,basico,45.13
SABINO RIVERA BERRIOS,PONCE,SANTA ISABEL,212,espa,basico,20
SALVADOR BRAU (INTERMEDIA),SAN JUAN,CAROLINA,265,espa,basico,40.14
SALVADOR BRAU ELEMENTAL,CAGUAS,CIDRA,300,espa,basico,36.98
SALVADOR FUENTES,MAYAGUEZ,AGUADILLA,213,espa,basico,63.16
SALVADOR RODRIGUEZ,CAGUAS,GURABO,87,espa,basico,35.29
SAN AGUSTIN,SAN JUAN,SAN JUAN II,286,espa,basico,43.28
SAN MARTIN (ANGELES PASTOR),SAN JUAN,SAN JUAN II,205,espa,basico,24.64
SAN PATRICIO,PONCE,UTUADO,150,espa,basico,26.32
SAN VICENTE,ARECIBO,VEGA ALTA,265,espa,basico,39.05
SANTA ROSA III,SAN JUAN,GUAYNABO,268,espa,basico,15.65
SANTA TERESITA,PONCE,PONCE,222,espa,basico,18.8
SANTIAGO IGLESIAS  PANTIN,HUMACAO,FAJARDO,510,espa,basico,53.13
SANTIAGO IGLESIAS PANTIN,SAN JUAN,SAN JUAN II,332,espa,basico,40
SANTIAGO IGLESIAS PANTIN,SAN JUAN,SAN JUAN II,164,espa,basico,50
SANTIAGO IGLESIAS PANTIN,SAN JUAN,GUAYNABO,467,espa,basico,42.86
SANTIAGO NEGRONI,PONCE,YAUCO,255,espa,basico,26.61
SANTIAGO TORRES,HUMACAO,LAS PIEDRAS,248,espa,basico,35.66
SEBASTIAN PABON ALVES (COROZO),MAYAGUEZ,CABO ROJO,195,espa,basico,35.88
SEGUNDA UNIDAD BO PUERTO REAL,MAYAGUEZ,CABO ROJO,494,espa,basico,45.78
SEGUNDO RUIZ BELVIS,MAYAGUEZ,MAYAGUEZ,767,espa,basico,36.47
SEGUNDO RUIZ BELVIS,MAYAGUEZ,MAYAGUEZ,239,espa,basico,52.21
SEGUNDO RUIZ BELVIS,SAN JUAN,SAN JUAN I,165,espa,basico,51.28
SEVERO E COLBERG RAMIREZ,MAYAGUEZ,CABO ROJO,421,espa,basico,38.46
SILVESTRE MARTINEZ,BAYAMON,COROZAL,300,espa,basico,8.4
SIMON MADERA,CAGUAS,GUAYAMA,321,espa,basico,29.95
SINFOROSO APONTE,CAGUAS,BARRANQUITAS,161,espa,basico,10.87
SOFIA REXACH,SAN JUAN,SAN JUAN II,166,espa,basico,32.84
SOR ISOLINA FERRE,PONCE,PONCE,416,espa,basico,36.52
SOTERO FIGUEROA,SAN JUAN,SAN JUAN I,410,espa,basico,25.82
STELLA MARQUEZ,CAGUAS,GUAYAMA,382,espa,basico,49.32
SU  ADAMS,MAYAGUEZ,AGUADILLA,827,espa,basico,39.2
SU  ALMIRANTE NORTE,ARECIBO,VEGA ALTA,522,espa,basico,41.08
SU ADOLFO GARCIA,BAYAMON,COROZAL,301,espa,basico,45.07
SU AGAPITO LOPEZ FLORES,HUMACAO,LAS PIEDRAS,349,espa,basico,44.88
SU ALFREDO DORRINGTON,MAYAGUEZ,MAYAGUEZ,313,espa,basico,48.21
SU ANA DALILA BURGOS ORTIZ,BAYAMON,OROCOVIS,158,espa,basico,7
SU ANA JOAQUINA ORTIZ ORTIZ,BAYAMON,OROCOVIS,187,espa,basico,27.2
SU ANDRES SANDIN,HUMACAO,YABUCOA,341,espa,basico,42.42
SU ANGELICA DELGADO,ARECIBO,CAMUY,427,espa,basico,32.82
SU ANTONIA SERRANO GONZALEZ,PONCE,UTUADO,190,espa,basico,32.76
SU ANTONIO ACARON CORREA,MAYAGUEZ,CABO ROJO,351,espa,basico,35.93
SU ANTONIO ROMERO MUNIZ,PONCE,UTUADO,267,espa,basico,45.69
SU ARISTIDES MAISONAVE,MAYAGUEZ,SAN SEBASTIAN,137,espa,basico,34.81
SU ASUNCION LUGO,HUMACAO,YABUCOA,217,espa,basico,48.03
